iteration,clf__alpha,clf__l1_ratio,clf__n_iter,kbest__percentile,vec__max_df,vec__min_df,vec__ngram_range,vec__sublinear_tf,scores_10_fold_cv
132,6.60E-05,0.171006666,60,95.18880245,0.89924278,1,"(1, 1)",FALSE,0.957842382
133,4.12E-06,0.027703303,55,87.46663308,0.715412361,2,"(1, 3)",TRUE,0.964543382
134,1.11E-05,0.567181256,30,67.20823224,0.907846216,2,"(1, 2)",FALSE,0.957832779
135,9.98E-05,0.0964132,25,69.94062438,0.981518906,2,"(1, 3)",TRUE,0.963257757
136,1.56E-05,0.937177636,75,86.10085614,0.875901523,3,"(1, 2)",TRUE,0.944531576
137,5.71E-06,0.145750589,20,75.664693,0.941209617,2,"(1, 2)",FALSE,0.960869496
138,3.38E-07,0.000709336,45,89.05999138,0.819900252,1,"(1, 1)",TRUE,0.944513247
139,9.78E-07,0.502711781,40,79.97333109,0.72457156,2,"(1, 3)",FALSE,0.953825302
140,2.11E-05,0.261282214,65,90.76753643,0.797912086,2,"(1, 2)",TRUE,0.962454836
141,3.44E-05,0.350034757,60,93.21999447,0.884938863,3,"(1, 3)",TRUE,0.961388286
142,3.17E-06,0.401372008,55,99.1283201,0.853963792,2,"(1, 2)",FALSE,0.957178638
143,7.91E-05,0.079766448,75,92.05246549,0.974016454,2,"(1, 2)",TRUE,0.964270545
144,4.41E-09,0.108951867,70,94.48186387,0.923579531,1,"(1, 1)",FALSE,0.944001364
145,9.95E-05,0.016861775,35,65.12363499,0.999456934,2,"(1, 3)",TRUE,0.965118557
146,2.67E-05,0.05230838,60,58.85106601,0.771173811,2,"(1, 3)",TRUE,0.965855081
147,2.79E-05,0.051267413,60,61.29416912,0.743936471,2,"(1, 3)",TRUE,0.966372888
148,1.31E-05,0.046129575,60,56.09254603,0.774745961,2,"(1, 3)",TRUE,0.965266964
149,5.62E-05,0.063394349,60,61.14144859,0.708861657,2,"(1, 3)",TRUE,0.965509033
150,2.45E-05,0.168753663,60,62.9590777,0.750139328,2,"(1, 3)",TRUE,0.964254581
151,3.15E-05,0.20874439,60,58.42487681,0.728339126,2,"(1, 3)",TRUE,0.96402245
152,9.30E-06,0.126650535,60,54.63008895,0.736126307,2,"(1, 3)",TRUE,0.964324088
153,4.52E-05,0.034082764,60,52.89310824,0.765169835,2,"(1, 3)",TRUE,0.96618398
154,6.98E-05,0.018537112,60,50.89540481,0.789734238,2,"(1, 3)",TRUE,0.966058448
155,4.21E-05,0.023140703,60,52.30354082,0.740196498,2,"(1, 3)",TRUE,0.966562003
156,4.44E-05,0.192759754,60,52.30134279,0.740851352,2,"(1, 3)",TRUE,0.964121114
157,2.08E-05,0.089805515,60,50.24494181,0.757540118,2,"(1, 3)",TRUE,0.964809406
158,6.34E-06,0.24378135,60,52.98672267,0.708800507,2,"(1, 3)",TRUE,0.962243513
159,1.60E-05,0.144253299,60,56.94786738,0.719856996,2,"(1, 3)",TRUE,0.964590011
160,1.13E-05,0.026171203,60,59.85659346,0.744288955,2,"(1, 3)",TRUE,0.96539453
161,4.65E-06,0.103496828,50,55.77676002,0.765682819,2,"(1, 3)",TRUE,0.963201118
162,3.67E-05,0.160982315,25,51.81965011,0.72904079,3,"(1, 3)",TRUE,0.963955316
163,7.19E-06,0.220082506,75,53.69792482,0.777468593,2,"(1, 3)",TRUE,0.962592322
164,5.23E-05,0.072332212,30,60.98418708,0.781603468,2,"(1, 3)",TRUE,0.965297528
165,9.78E-05,0.12526549,20,64.42466165,0.700199563,2,"(1, 3)",TRUE,0.962869863
166,2.22E-06,0.039989627,60,68.21209377,0.750039729,1,"(1, 3)",TRUE,0.964269315
167,2.99E-05,0.298653054,40,57.89731428,0.812413645,2,"(1, 3)",TRUE,0.962876978
168,1.40E-05,0.628626232,45,55.14315368,0.806153372,2,"(1, 3)",TRUE,0.958420574
169,8.31E-05,0.001536058,65,53.3236653,0.759946243,3,"(1, 3)",TRUE,0.966385149
170,8.62E-05,0.083411498,65,71.65177732,0.798014819,3,"(1, 3)",TRUE,0.964421177
171,8.97E-06,0.011062391,65,66.25704681,0.737502067,3,"(1, 3)",TRUE,0.963011591
172,6.59E-05,0.189981272,65,61.90877163,0.754490544,3,"(1, 3)",TRUE,0.963759421
173,2.10E-09,0.726570411,65,53.91493538,0.721027245,3,"(1, 3)",TRUE,0.952713889
174,1.64E-07,0.115778464,65,51.28044754,0.708490744,3,"(1, 3)",TRUE,0.95375808
175,1.91E-05,0.260282628,65,64.15892303,0.789290931,3,"(1, 3)",TRUE,0.962150126
176,3.77E-06,0.056501997,65,59.65293049,0.732577216,3,"(1, 1)",TRUE,0.943189457
177,1.43E-06,0.149047709,75,50.06784899,0.714471617,3,"(1, 3)",TRUE,0.959235021
178,2.39E-05,0.31781973,70,72.48695804,0.743733659,3,"(1, 3)",TRUE,0.96190186
179,3.69E-05,0.001498637,50,57.67868668,0.770736843,3,"(1, 3)",TRUE,0.965821174
180,7.46E-05,0.098739025,35,56.97156381,0.761596824,3,"(1, 1)",TRUE,0.960170002
181,6.48E-07,0.418357801,75,55.35043103,0.752265876,3,"(1, 3)",TRUE,0.952067824
182,9.96E-05,0.854112074,25,65.65124883,0.700431677,3,"(1, 3)",TRUE,0.951819574
183,4.80E-08,0.367670207,30,63.31308098,0.818215027,3,"(1, 3)",TRUE,0.953461995
184,5.67E-05,0.179310455,20,62.36726663,0.839676099,3,"(1, 1)",TRUE,0.958786201
185,1.68E-05,0.001818367,65,67.20762216,0.824329425,1,"(1, 3)",TRUE,0.964057238
186,2.76E-07,0.231538269,40,70.62056943,0.795773792,3,"(1, 3)",TRUE,0.953064758
187,5.36E-06,0.270328145,45,56.14494358,0.782548791,1,"(1, 3)",TRUE,0.964175338
188,2.66E-06,0.136275992,75,60.52700691,0.723789967,3,"(1, 3)",TRUE,0.960475895
189,1.14E-05,0.057433515,70,54.76228375,0.807922381,3,"(1, 1)",TRUE,0.950124054
190,4.25E-07,0.475243921,65,69.21624981,0.758620035,1,"(1, 3)",TRUE,0.957353593
191,2.84E-05,0.032993414,50,50.16812891,0.73961902,3,"(1, 3)",TRUE,0.965600767
192,8.99E-07,0.07681058,35,77.57151997,0.831638618,3,"(1, 3)",TRUE,0.954829738
193,1.91E-06,0.20945924,75,53.27559571,0.729954638,2,"(1, 3)",TRUE,0.961929925
194,4.20E-05,0.674688566,25,51.7701916,0.771653699,1,"(1, 1)",TRUE,0.953996909
195,8.36E-05,0.159722588,20,54.12477458,0.747314645,2,"(1, 3)",TRUE,0.962655607
196,5.00E-05,0.999964763,30,58.30417451,0.714976196,2,"(1, 3)",TRUE,0.953924235
197,8.89E-06,0.098624401,40,74.4164494,0.778952651,3,"(1, 3)",TRUE,0.962003044
198,6.75E-06,0.040468834,45,60.04371015,0.787767156,2,"(1, 2)",TRUE,0.963717739
199,1.61E-05,0.000845641,65,58.92468557,0.849740676,2,"(1, 3)",TRUE,0.965938659
200,1.18E-06,0.115166545,75,76.47945833,0.80123386,1,"(1, 1)",TRUE,0.948547462
